index,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,cb_person_default_on_file,cb_person_cred_hist_length
64,25,250000,RENT,2.0,MEDICAL,C,25000,13.49,0,0,4
65,21,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,1,3
66,23,65000,RENT,2.0,EDUCATION,A,28000,7.9,1,0,2
67,26,85000,RENT,2.0,VENTURE,A,28000,7.49,1,0,3
68,26,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0,3
69,22,88000,RENT,6.0,VENTURE,B,28000,9.91,1,0,3
70,21,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,1,4
71,22,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0,2
72,24,83004,RENT,0.0,VENTURE,D,28000,15.99,1,1,4
73,24,250000,RENT,2.0,EDUCATION,C,18000,12.98,0,1,3
74,144,250000,RENT,4.0,VENTURE,C,4800,13.57,0,0,3
75,25,100000,RENT,5.0,DEBTCONSOLIDATION,B,28000,12.69,0,0,3
76,26,110000,RENT,10.0,EDUCATION,A,28000,8.9,0,0,2
77,23,151200,RENT,7.0,DEBTCONSOLIDATION,B,28000,11.11,0,0,2
78,21,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,1,3
79,22,70000,RENT,4.0,EDUCATION,C,27500,13.06,1,1,3
80,26,73200,RENT,5.0,VENTURE,D,27050,15.62,1,1,2
81,24,83000,RENT,5.0,PERSONAL,C,27000,13.49,1,1,2
82,23,62500,RENT,7.0,MEDICAL,B,26000,11.71,1,0,2
83,23,120000,RENT,1.0,EDUCATION,B,25600,12.69,0,0,3
84,24,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0,3
85,22,60000,RENT,0.0,VENTURE,B,25475,10.99,1,0,3
86,25,234000,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,1,4
87,24,234000,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0,4
88,26,234000,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0,3
89,25,221004,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,1,3
90,26,232500,MORTGAGE,0.0,MEDICAL,C,25000,14.17,0,1,2
91,25,230000,MORTGAGE,5.0,MEDICAL,C,35000,13.99,0,0,4
92,23,83000,RENT,7.0,EDUCATION,B,25300,10.99,1,0,3
93,25,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0,3
94,21,42500,RENT,3.0,EDUCATION,C,25000,12.73,1,1,3
95,25,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,1,4
96,24,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0,3
97,26,226000,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0,4
98,25,225000,MORTGAGE,0.0,HOMEIMPROVEMENT,E,30000,19.91,0,1,2
99,26,213000,MORTGAGE,6.0,EDUCATION,B,35000,10.65,1,0,2
100,24,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0,4
101,23,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,1,2
102,22,42000,RENT,6.0,MEDICAL,D,25000,14.59,1,1,2
103,26,48000,RENT,2.0,EDUCATION,B,25000,9.64,1,0,4
104,25,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0,3
105,25,42360,RENT,1.0,EDUCATION,E,25000,16.35,1,1,3
106,21,49000,RENT,4.0,EDUCATION,B,25000,10.99,1,0,2
107,25,225000,MORTGAGE,0.0,VENTURE,F,25000,18.67,0,0,2
108,26,225000,RENT,1.0,EDUCATION,A,3000,9.32,0,0,4
109,23,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0,2
110,26,225000,MORTGAGE,2.0,VENTURE,B,25000,10.08,0,0,2
111,22,49464,RENT,5.0,PERSONAL,B,25000,11.83,1,0,3
112,23,50000,RENT,1.0,DEBTCONSOLIDATION,A,25000,7.9,1,0,3
113,25,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000,5.99,1,0,2
114,24,44000,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.33,1,0,2
115,23,50000,RENT,1.0,VENTURE,B,25000,11.83,1,0,4
116,22,50004,RENT,0.0,VENTURE,B,25000,10.36,1,0,2
117,22,50004,RENT,3.0,VENTURE,C,25000,12.23,1,0,3
118,22,52000,RENT,2.0,EDUCATION,B,25000,11.11,1,0,4
119,23,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0,4
120,24,220000,MORTGAGE,1.0,EDUCATION,B,25000,11.58,0,0,2
121,23,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0,3
122,25,216000,MORTGAGE,2.0,EDUCATION,D,25000,16.07,0,0,3
123,26,216000,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,1,2
124,23,215000,MORTGAGE,7.0,MEDICAL,C,35000,14.79,0,1,3
125,26,215000,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0,2
126,23,52000,RENT,1.0,PERSONAL,C,25000,13.22,1,0,2
127,26,46000,RENT,2.0,DEBTCONSOLIDATION,D,25000,11.86,1,0,4
128,22,53000,RENT,5.0,EDUCATION,C,25000,13.43,1,1,4
129,26,47000,RENT,0.0,HOMEIMPROVEMENT,D,25000,15.28,1,1,2
130,23,47000,RENT,1.0,VENTURE,E,25000,17.93,1,0,2
131,23,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0,4
132,21,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0,4
133,22,210000,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0,4
134,26,210000,OWN,10.0,PERSONAL,B,22000,11.83,0,0,4
135,26,48000,RENT,5.0,VENTURE,F,25000,18.43,1,0,2
136,23,55000,RENT,4.0,EDUCATION,B,25000,11.36,1,0,3
137,23,55000,RENT,4.0,EDUCATION,D,25000,15.65,1,1,3
138,24,55164,RENT,8.0,PERSONAL,C,25000,13.22,1,1,4
139,26,56000,RENT,4.0,DEBTCONSOLIDATION,C,25000,12.87,1,0,2
140,24,203500,OWN,8.0,MEDICAL,C,20000,13.04,0,0,3
141,23,190000,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,1,3
142,23,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0,4
143,24,60000,RENT,0.0,PERSONAL,B,25000,10.99,1,0,3
144,24,60000,RENT,2.0,PERSONAL,B,25000,11.11,1,0,3
145,26,54000,RENT,7.0,DEBTCONSOLIDATION,D,25000,14.83,1,1,2
146,24,200000,RENT,8.0,MEDICAL,B,12000,12.69,0,0,2
147,24,200000,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0,2
148,21,200000,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0,4
149,25,54000,RENT,3.0,HOMEIMPROVEMENT,E,25000,16.82,1,0,4
150,23,60000,RENT,3.0,PERSONAL,C,25000,12.73,1,0,3
151,23,60000,RENT,7.0,PERSONAL,B,25000,10.25,1,0,4
152,21,60000,RENT,6.0,EDUCATION,B,25000,10.99,1,0,4
153,25,61959,RENT,9.0,MEDICAL,C,25000,12.73,1,0,2
154,22,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000,14.96,1,1,3
155,21,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,25000,13.99,0,0,2
156,24,200000,MORTGAGE,3.0,VENTURE,A,24000,7.49,0,0,4
157,26,200000,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0,3
158,25,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0,2
159,24,200000,RENT,8.0,EDUCATION,A,10000,8.49,0,0,4
160,24,66000,RENT,3.0,EDUCATION,B,25000,9.91,1,0,2
161,22,66000,RENT,6.0,EDUCATION,C,25000,13.06,1,1,3
162,22,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0,4
163,144,200000,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0,2
164,25,200000,RENT,5.0,EDUCATION,D,18000,16.32,0,0,3
165,25,200000,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0,2
166,25,200000,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0,3
167,26,66996,RENT,10.0,PERSONAL,D,25000,15.21,1,1,2
168,23,67000,RENT,3.0,EDUCATION,A,25000,7.9,1,0,4
169,24,67000,RENT,2.0,VENTURE,B,25000,10.99,1,0,3
170,24,68000,RENT,5.0,PERSONAL,D,25000,14.09,1,1,3
171,25,69000,RENT,9.0,PERSONAL,D,25000,17.49,1,0,2
172,25,200000,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0,3
173,26,188000,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0,2
174,26,200000,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0,3
175,25,69996,RENT,9.0,EDUCATION,D,25000,15.21,1,0,3
176,22,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0,3
177,24,70000,RENT,3.0,EDUCATION,B,25000,11.86,1,0,4
178,24,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0,3
179,24,56100,RENT,7.0,MEDICAL,D,25000,16.49,1,0,4
180,25,66000,RENT,9.0,VENTURE,D,25000,15.33,1,1,2
181,26,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000,11.58,1,0,4
182,25,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0,2
183,25,72612,RENT,9.0,MEDICAL,C,25000,13.11,1,0,2
184,23,74000,RENT,3.0,MEDICAL,B,25000,10.36,1,0,3
185,25,75000,RENT,9.0,DEBTCONSOLIDATION,B,25000,10.36,1,0,2
186,21,192000,MORTGAGE,123.0,VENTURE,A,20000,6.54,0,0,4
187,25,191000,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0,4
188,24,75000,RENT,4.0,EDUCATION,B,25000,10.25,1,0,4
189,22,71000,RENT,1.0,EDUCATION,D,25000,15.95,1,1,4
190,26,190000,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0,4
191,23,189996,OWN,0.0,PERSONAL,B,24000,11.83,0,0,3
192,23,78000,RENT,1.0,VENTURE,B,25000,10.62,1,0,3
193,23,78504,RENT,7.0,VENTURE,B,25000,10.74,1,0,3
194,25,186000,OWN,9.0,VENTURE,B,10000,10.25,0,0,4
195,25,185000,RENT,6.0,VENTURE,C,15000,15.27,0,0,2
196,24,62050,RENT,8.0,MEDICAL,D,25000,15.33,1,1,2
197,23,79416,RENT,7.0,VENTURE,D,25000,15.21,1,1,2
198,21,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0,2
199,24,79631,RENT,8.0,PERSONAL,D,25000,15.7,1,1,2
200,24,79632,RENT,0.0,EDUCATION,C,25000,13.35,1,0,4
201,24,80000,RENT,6.0,EDUCATION,A,25000,6.62,1,0,2
202,26,80000,RENT,5.0,DEBTCONSOLIDATION,C,25000,13.61,1,0,4
203,22,185000,RENT,4.0,MEDICAL,B,25000,11.36,0,0,2
204,26,185000,OWN,10.0,PERSONAL,A,5000,7.68,0,0,2
205,24,184992,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,1,4
206,23,184000,OWN,5.0,EDUCATION,B,2500,11.83,0,0,2
207,24,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,1,4
208,24,183000,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0,3
209,25,182952,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0,3
210,23,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000,16.35,1,0,4
211,25,81000,RENT,5.0,DEBTCONSOLIDATION,A,25000,7.29,1,0,3
212,23,81600,RENT,1.0,MEDICAL,B,25000,11.36,1,0,3
213,24,82000,RENT,8.0,VENTURE,B,25000,10.25,0,0,2
214,24,83000,RENT,5.0,EDUCATION,B,25000,11.12,0,0,3
215,24,83000,RENT,5.0,PERSONAL,D,25000,12.92,0,1,3
216,24,180000,RENT,8.0,EDUCATION,E,18000,18.64,0,1,4
217,23,180000,MORTGAGE,8.0,PERSONAL,A,28000,7.51,0,0,3
218,23,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0,2
219,22,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0,4
220,22,84500,RENT,6.0,PERSONAL,F,25000,18.3,0,0,4
221,24,85000,RENT,5.0,MEDICAL,B,25000,10.62,0,0,4
222,24,180000,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0,2
223,26,180000,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0,4
224,25,142800,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0,4
225,24,87000,RENT,8.0,HOMEIMPROVEMENT,D,25000,14.84,0,0,3
226,24,75000,RENT,0.0,VENTURE,E,25000,14.7,1,1,3
227,23,76000,RENT,7.0,DEBTCONSOLIDATION,D,25000,16.02,1,0,4
228,23,66215,RENT,1.0,MEDICAL,D,25000,15.37,1,1,2
229,25,90000,RENT,9.0,MEDICAL,B,25000,10.99,0,0,4
230,21,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0,2
231,26,180000,OWN,2.0,PERSONAL,B,25000,10.99,0,0,4
232,24,180000,OWN,8.0,EDUCATION,B,21000,11.48,0,0,3
233,25,180000,OWN,9.0,MEDICAL,C,20000,14.26,0,1,4
234,26,180000,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0,4
235,25,180000,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0,2
236,23,78000,RENT,2.0,VENTURE,D,25000,16.32,1,1,3
237,25,66300,RENT,3.0,MEDICAL,E,25000,17.93,1,1,4
238,23,90000,RENT,0.0,DEBTCONSOLIDATION,B,25000,11.36,0,0,3
239,24,79000,RENT,9.0,DEBTCONSOLIDATION,D,25000,14.96,1,1,4
240,24,91800,RENT,4.0,PERSONAL,C,25000,13.43,0,1,3
241,25,92000,RENT,6.0,HOMEIMPROVEMENT,B,25000,12.69,0,0,3
242,24,92000,RENT,1.0,VENTURE,C,25000,12.73,0,1,4
243,23,93600,RENT,3.0,VENTURE,D,25000,15.21,0,0,4
244,23,15000,MORTGAGE,1.0,MEDICAL,C,1750,12.68,0,1,3
245,23,70550,RENT,3.0,MEDICAL,F,25000,19.04,1,1,4
246,25,83800,RENT,2.0,DEBTCONSOLIDATION,D,25000,15.95,1,1,3
247,26,175000,MORTGAGE,3.0,VENTURE,A,2600,8.9,0,0,4
248,25,175000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000,7.9,0,0,2
249,23,175000,MORTGAGE,8.0,PERSONAL,B,21000,11.99,0,0,3
250,23,15000,OWN,4.0,DEBTCONSOLIDATION,C,4000,13.98,1,0,4
251,23,15000,OWN,4.0,VENTURE,B,4600,10.99,1,0,2
252,22,88000,RENT,6.0,DEBTCONSOLIDATION,D,25000,15.58,1,1,2
253,25,74800,RENT,2.0,MEDICAL,B,25000,10.99,1,0,2
254,25,88000,RENT,0.0,VENTURE,D,25000,14.96,1,0,4
255,25,15000,OWN,2.0,HOMEIMPROVEMENT,D,1750,15.31,0,1,4
256,26,88000,RENT,2.0,VENTURE,D,25000,15.65,1,0,3
257,25,100000,RENT,1.0,VENTURE,B,25000,9.33,0,0,4
258,23,15000,MORTGAGE,0.0,PERSONAL,C,3600,13.47,1,0,4
259,24,102400,RENT,8.0,PERSONAL,B,25000,10.36,0,0,3
260,24,92000,RENT,1.0,HOMEIMPROVEMENT,E,25000,16.77,1,1,4
261,23,93000,RENT,0.0,DEBTCONSOLIDATION,D,25000,14.59,1,1,2
262,22,175000,RENT,6.0,VENTURE,C,3500,11.91,0,1,2
263,23,175000,MORTGAGE,3.0,EDUCATION,A,7200,8.38,0,0,3
264,25,174708,RENT,9.0,VENTURE,B,9000,10.59,0,0,3
265,25,174000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,8800,14.27,0,0,3
266,26,174000,RENT,8.0,DEBTCONSOLIDATION,B,12000,12.53,0,0,4
267,25,162000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,25000,16.0,1,1,3
268,26,173467,MORTGAGE,10.0,VENTURE,B,10000,11.71,0,0,4
269,21,15000,OWN,0.0,HOMEIMPROVEMENT,C,3175,11.54,1,1,3
270,25,96000,RENT,2.0,HOMEIMPROVEMENT,E,25000,15.68,1,1,4
271,21,15120,MORTGAGE,0.0,EDUCATION,B,1500,10.59,0,0,2
272,24,97908,RENT,8.0,HOMEIMPROVEMENT,D,25000,12.61,1,1,2
273,23,15204,MORTGAGE,7.0,PERSONAL,A,2800,8.49,1,0,3
274,25,159600,RENT,0.0,PERSONAL,D,30000,17.27,1,1,4
275,24,171500,RENT,6.0,DEBTCONSOLIDATION,A,18000,8.9,0,0,4
276,25,170004,MORTGAGE,3.0,MEDICAL,B,10000,11.11,0,0,4
277,24,158004,RENT,0.0,HOMEIMPROVEMENT,D,25000,14.59,1,1,2
278,26,170000,RENT,0.0,VENTURE,B,13000,12.42,0,0,3
279,24,110000,RENT,7.0,HOMEIMPROVEMENT,D,25000,15.7,0,1,2
280,22,15360,OWN,7.0,HOMEIMPROVEMENT,B,2500,12.53,1,0,3
281,25,134300,RENT,3.0,MEDICAL,D,5000,16.49,1,0,2
282,25,170000,MORTGAGE,2.0,EDUCATION,A,20000,7.49,0,0,2
283,22,100580,RENT,6.0,DEBTCONSOLIDATION,D,25000,14.96,1,1,2
284,25,113000,RENT,7.0,MEDICAL,C,25000,12.73,0,1,4
285,24,120000,RENT,8.0,EDUCATION,B,25000,10.65,0,0,4
286,25,120000,RENT,6.0,MEDICAL,B,25000,10.74,0,0,2
287,23,120000,RENT,7.0,EDUCATION,B,25000,9.99,0,0,2
288,24,91800,RENT,5.0,MEDICAL,D,25000,15.33,1,1,2
289,21,15600,OWN,5.0,VENTURE,A,1000,7.29,0,0,4
290,26,108000,RENT,2.0,PERSONAL,D,25000,15.05,1,0,3
291,26,129996,RENT,6.0,PERSONAL,B,25000,10.75,0,0,3
292,23,130000,RENT,4.0,EDUCATION,D,25000,16.02,0,1,2
293,23,130000,RENT,7.0,VENTURE,B,25000,11.49,0,0,4
294,25,170000,OWN,4.0,EDUCATION,B,20000,12.53,0,0,4
295,26,170000,MORTGAGE,0.0,VENTURE,C,12000,13.57,0,1,2
296,22,169000,RENT,1.0,PERSONAL,B,14000,11.14,0,0,3
297,26,168750,RENT,10.0,MEDICAL,C,24250,12.87,0,1,3
298,23,168600,RENT,3.0,EDUCATION,B,20000,11.58,0,0,3
299,24,168288,RENT,5.0,HOMEIMPROVEMENT,B,1800,11.12,0,0,3
300,25,168000,MORTGAGE,2.0,PERSONAL,B,35000,10.65,0,0,2
301,24,133300,RENT,6.0,DEBTCONSOLIDATION,B,25000,10.37,0,0,2
302,24,15600,OWN,5.0,HOMEIMPROVEMENT,A,3300,6.39,1,0,4
303,24,134000,RENT,8.0,PERSONAL,D,25000,16.07,0,1,3
304,25,134000,RENT,7.0,MEDICAL,B,25000,10.62,0,0,2
305,25,15600,OWN,0.0,VENTURE,F,3200,18.09,1,0,2
306,25,135000,RENT,5.0,EDUCATION,B,25000,11.36,0,0,4
307,26,135660,RENT,10.0,DEBTCONSOLIDATION,B,25000,12.53,0,0,4
308,25,145000,RENT,0.0,EDUCATION,B,25000,9.99,0,0,4
309,23,150000,RENT,4.0,EDUCATION,B,25000,10.36,0,0,3
310,23,165000,MORTGAGE,3.0,EDUCATION,A,9600,5.99,0,0,3
311,22,153000,MORTGAGE,5.0,DEBTCONSOLIDATION,D,24000,15.62,1,1,2
312,24,165000,MORTGAGE,5.0,PERSONAL,B,20000,10.37,0,0,4
313,25,165000,MORTGAGE,0.0,HOMEIMPROVEMENT,F,25000,19.74,0,0,4
314,21,165000,MORTGAGE,5.0,EDUCATION,A,20000,6.91,0,0,4
315,23,16000,OWN,7.0,MEDICAL,A,6000,7.9,1,0,2
316,23,16000,MORTGAGE,3.0,DEBTCONSOLIDATION,C,2275,13.06,0,1,4
317,23,16000,OWN,7.0,PERSONAL,A,2000,6.39,0,0,3
318,23,148000,RENT,1.0,DEBTCONSOLIDATION,E,25000,14.93,1,0,3
319,23,16000,MORTGAGE,1.0,MEDICAL,C,5600,12.84,1,0,4
320,24,16020,OWN,3.0,VENTURE,E,3625,17.14,1,1,2
321,22,16094,MORTGAGE,2.0,VENTURE,A,5500,7.14,1,0,3
322,25,175000,RENT,2.0,PERSONAL,A,25000,8.9,0,0,2
323,22,16200,OWN,6.0,PERSONAL,B,2000,12.42,0,0,3
324,24,185000,RENT,7.0,HOMEIMPROVEMENT,C,25000,12.68,0,1,2
325,25,162000,RENT,9.0,PERSONAL,C,25000,11.03,0,0,2
326,26,161000,RENT,10.0,VENTURE,A,30000,7.9,0,0,4
327,22,160000,MORTGAGE,0.0,MEDICAL,B,35000,10.65,0,0,4
328,25,225000,RENT,5.0,VENTURE,B,25000,11.86,0,0,4
329,25,16400,OWN,1.0,PERSONAL,A,5000,8.94,1,0,4
330,23,16500,OWN,6.0,VENTURE,B,4375,9.63,1,0,4
331,25,49500,RENT,6.0,PERSONAL,C,24750,14.22,1,0,3
332,23,60000,RENT,4.0,DEBTCONSOLIDATION,B,24750,9.33,1,0,3
333,24,84200,RENT,8.0,MEDICAL,C,24500,13.85,0,0,4
334,22,16800,MORTGAGE,5.0,EDUCATION,B,2000,10.65,0,0,2
335,24,92000,RENT,8.0,MEDICAL,B,24500,11.46,0,0,4
336,23,160000,MORTGAGE,5.0,PERSONAL,A,35000,7.66,0,0,2
337,24,160000,MORTGAGE,9.0,VENTURE,E,12000,16.77,0,0,4
338,25,160000,MORTGAGE,1.0,PERSONAL,B,12000,9.63,0,0,4
339,26,160000,RENT,6.0,PERSONAL,C,25000,12.23,0,1,4
340,25,125800,MORTGAGE,0.0,MEDICAL,D,10000,14.09,1,0,4
341,25,54000,RENT,2.0,PERSONAL,C,24250,13.98,1,0,4
342,23,62500,RENT,1.0,EDUCATION,B,24250,10.62,1,0,4
343,25,68400,RENT,9.0,PERSONAL,E,24250,17.56,1,0,4
344,26,56045,RENT,1.0,MEDICAL,D,24250,14.96,1,0,2
345,22,74000,RENT,7.0,DEBTCONSOLIDATION,D,24250,15.65,1,1,2
346,24,65453,RENT,9.0,MEDICAL,D,24250,15.7,1,0,2
347,24,89908,RENT,1.0,VENTURE,B,24250,12.53,0,0,3
348,26,78000,RENT,0.0,HOMEIMPROVEMENT,E,24250,17.56,1,1,3
